decathlon.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 19,782"
advwin.com.au,23.227.38.32,"Shopify, Inc",Canada,None,"# 19,804"
pachic.net,23.227.38.65,"Shopify, Inc",Canada,None,"# 20,252"
piccalio.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 20,690"
3kgj.com,23.227.38.58,"Shopify, Inc",Canada,None,"# 21,176"
okbands.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 22,450"
empava.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 22,582"
goatguns.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 22,837"
glamnetic.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 22,960"
bluhouzz.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 23,152"
rudsak.com,23.227.38.64,"Shopify, Inc",Canada,None,"# 23,419"
boministore.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 23,433"
insiderstore.com.br,23.227.38.32,"Shopify, Inc",Canada,None,"# 23,784"
elephantstock.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 23,922"
huel.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 24,437"
heysilkyskin.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 24,948"
shopbynur.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 24,952"
so-comfy.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 24,953"
thermorollen24.de,23.227.38.65,"Shopify, Inc",Canada,None,"# 25,650"
baublebar.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 26,235"
gonoise.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 27,349"
ohpolly.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 27,415"
dollskill.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 27,447"
pornhubapparel.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 27,683"
myriadbeauty.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 27,873"
montessoritriangle.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 29,033"
roxley.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>","# 29,123"
roxley.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>","# 29,123"
sixty-percent.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 29,167"
temib.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 29,195"
ncblade.com,23.227.38.67,"Shopify, Inc",Canada,None,"# 29,416"
nordicknives.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 29,417"
sterilybrasil.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 29,425"
swimoutlet.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 29,428"
elegoo.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 29,548"
easelegbike.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 29,620"
gfuel.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 29,940"
nothing.tech,23.227.38.65,"Shopify, Inc",Canada,None,"# 30,247"
forzieri.com,23.227.38.66,"Shopify, Inc",Canada,None,"# 30,322"
bdgastore.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 30,424"
swap.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 30,639"
pixelsurplus.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 30,640"
uspoloassn.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 30,966"
morphe.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 31,615"
geneverse.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 31,679"
joysides.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 31,682"
hyperx.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 31,755"
maxwarehouse.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 32,618"
aftershokz.co.uk,23.227.38.32,"Shopify, Inc",Canada,None,"# 32,735"
awareness-avenue.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 32,777"
optipharmpharmacy.co.uk,23.227.38.32,"Shopify, Inc",Canada,None,"# 33,418"
outisan.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 33,423"
perfectdiary.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 33,437"
pupzday.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 33,462"
totaha.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 33,675"
gamersupps.gg,23.227.38.32,"Shopify, Inc",Canada,None,"# 34,333"
peakdesign.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 34,542"
stussy.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 34,672"
allbirds.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 35,114"
windsorstore.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 35,187"
spigen.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 35,379"
nobullproject.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 35,723"
notre-shop.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 35,762"
usagundamstore.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 35,834"
shoepalace.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 36,333"
homyeko.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 36,468"
kmtools.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 36,539"
wilsonsestatejewelry.com,23.227.38.71,"Shopify, Inc",Canada,None,"# 36,571"
bombas.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 36,603"
slamjam.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 36,884"
bombayshavingcompany.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 36,961"
amiparis.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 37,024"
geniani.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 37,127"
rojaparfums.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 37,218"
sallve.com.br,23.227.38.32,"Shopify, Inc",Canada,None,"# 37,487"
altitude-sports.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 37,679"
themoneyteam.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 37,853"
website,web_ip_addr,web_host_comp,web_host_country,web_host_city,World_Site_Popular_Rating
fleshlight.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 38,071"
tomtoc.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 38,404"
gloriousgaming.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 38,591"
wemax.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 38,759"
woodcraft.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 38,833"
keenfootwear.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 38,977"
flyingtiger.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 39,251"
juahar.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 39,458"
crocflame.co,23.227.38.67,"Shopify, Inc",Canada,None,"# 39,493"
herbaluxy.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 39,500"
creedfragrances.co.uk,23.227.38.65,"Shopify, Inc",Canada,None,"# 39,723"
durexindia.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 39,770"
bellavitaorganic.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 40,305"
store974.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 40,418"
takasago-fluidics.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 40,605"
kitchenappliancestore.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 40,675"
smartqat.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 40,724"
cymatics.fm,23.227.38.32,"Shopify, Inc",Canada,None,"# 41,213"
tres-bien.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 41,258"
aelfriceden.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 41,720"
twigandtale.com,23.227.38.68,"Shopify, Inc",Canada,None,"# 41,796"
flolyea.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 42,041"
ipollo.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 42,064"
teddybaldassarre.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 42,254"
konotv.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 42,333"
modedesigns.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 42,366"
alienshop.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 42,954"
autocamper.hk,23.227.38.65,"Shopify, Inc",Canada,None,"# 43,051"
bagista.co.uk,23.227.38.65,"Shopify, Inc",Canada,None,"# 43,070"
blazepod.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 43,186"
boreas.ca,23.227.38.32,"Shopify, Inc",Canada,None,"# 43,209"
buhndi.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 43,242"
cameraobscurafilms.de,23.227.38.67,"Shopify, Inc",Canada,None,"# 43,285"
cosmolle.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 43,553"
discountgolfco.com,23.227.38.36,"Shopify, Inc",Canada,None,"# 43,749"
doll-hall.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 43,787"
dotandbo.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 43,807"
dpq6.com,23.227.38.250,"Shopify, Inc",Canada,None,"# 43,820"
everdries.com,23.227.38.67,"Shopify, Inc",Canada,None,"# 43,955"
hhplift.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 44,436"
ibathtub.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 44,596"
kittenbot.cc,23.227.38.32,"Shopify, Inc",Canada,None,"# 44,996"
lifezones.ch,23.227.38.32,"Shopify, Inc",Canada,None,"# 45,127"
makely.shop,23.227.38.32,"Shopify, Inc",Canada,None,"# 45,289"
marissa-webb.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 45,299"
nestedbean.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 45,540"
novaswinkel.nl,23.227.38.65,"Shopify, Inc",Canada,None,"# 45,599"
planetshopper.org,23.227.38.32,"Shopify, Inc",Canada,None,"# 45,763"
quranmemorizationguide.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 45,924"
rbzexpressions.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 45,958"
republicandogs.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>","# 45,980"
sandelier.com,23.227.38.36,"Shopify, Inc",Canada,None,"# 46,037"
shop-bohemianfc.com,23.227.38.68,"Shopify, Inc",Canada,None,"# 46,175"
simthreads.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 46,215"
sinbono.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 46,217"
starskin.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 46,316"
stefanelliscandies.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 46,328"
unshattered.org,23.227.38.32,"Shopify, Inc",Canada,None,"# 46,657"
yellowdesignstudio.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 47,197"
solarisjapan.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>","# 47,642"
butcherbox.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 47,662"
lightburnsoftware.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 47,862"
roccat.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 47,903"
representclo.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 47,914"
stanley1913.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 48,109"
lojaprati.com.br,23.227.38.65,"Shopify, Inc",Canada,None,"# 48,161"
tphbytaraji.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 48,267"
fireboltt.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 48,894"
urbanmonkey.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 49,249"
sparklyroses.com,23.227.38.67,"Shopify, Inc",Canada,None,"# 49,325"
nijisanji-store.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 49,493"
colourpop.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 49,584"
hellomolly.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 49,690"
kachava.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 49,750"
tribesigns.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 49,756"
xtool.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 49,961"
nurserylive.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 50,006"
labyrinthos.co,23.227.38.32,"Shopify, Inc",Canada,None,"# 50,082"
timex.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 50,223"
joinform.co,23.227.38.65,"Shopify, Inc",Canada,None,"# 50,367"
pipdecks.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 50,395"
levi.in,23.227.38.65,"Shopify, Inc",Canada,None,"# 50,441"
32degrees.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 50,443"
whitefoxboutique.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 50,489"
tanotis.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 50,857"
cadblocksdownload.com,23.227.38.71,"Shopify, Inc",Canada,None,"# 51,271"
mymarketshopping.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 51,387"
tilswall.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 51,470"
mamaapp.co,23.227.38.32,"Shopify, Inc",Canada,None,"# 51,513"
autoglam.in,23.227.38.74,"Shopify, Inc",Canada,None,"# 51,738"
kbdfans.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>","# 52,016"
youngla.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 52,062"
exportleftovers.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 52,147"
fentybeauty.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 52,175"
cupshe.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 52,262"
sanarsaude.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 52,309"
asrv.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 52,660"
buybuybaby.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 52,951"
aloyoga.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 52,989"
beardo.in,23.227.38.65,"Shopify, Inc",Canada,None,"# 53,030"
website,web_ip_addr,web_host_comp,web_host_country,web_host_city,World_Site_Popular_Rating
kith.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 53,105"
olaplex.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 53,265"
spartan.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 53,557"
exclusivebooks.co.za,23.227.38.65,"Shopify, Inc",Canada,None,"# 53,778"
brooklinen.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 53,810"
ugreen.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 53,904"
whitefoxboutique.com.au,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>","# 54,025"
cannonkeys.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 54,100"
amazfit.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 54,438"
crossbeats.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 54,478"
limitedrungames.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 54,628"
lttstore.com,23.227.38.36,"Shopify, Inc",Canada,None,"# 54,868"
mcaffeine.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 54,893"
vicicollection.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 55,019"
decathlon.co.jp,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>","# 55,295"
caffeinearmy.com.br,23.227.38.74,"Shopify, Inc",Canada,None,"# 55,800"
yaqootsaffron.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 55,929"
francfranc.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 56,092"
koskii.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 56,268"
ooni.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 56,384"
tesmare.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 56,429"
vinegarsyndrome.com,23.227.38.69,"Shopify, Inc",Canada,None,"# 56,462"
undefeated.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 56,574"
stevemadden.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 56,615"
okay.cz,23.227.38.65,"Shopify, Inc",Canada,None,"# 56,692"
gianttiger.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 56,805"
distritech.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 56,832"
mychoicesoftware.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 56,960"
headphonezone.in,23.227.38.65,"Shopify, Inc",Canada,None,"# 57,004"
thorum.com,23.227.38.72,"Shopify, Inc",Canada,None,"# 57,093"
outofthesandbox.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 57,134"
sharkrobot.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 57,179"
orderpickles.in,23.227.38.65,"Shopify, Inc",Canada,None,"# 57,212"
minisforum.hk,23.227.38.65,"Shopify, Inc",Canada,None,"# 57,286"
ohsnap.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 57,309"
giva.co,23.227.38.32,"Shopify, Inc",Canada,None,"# 57,564"
barkershoes.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 57,703"
avocadogreenmattress.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 57,864"
bonandbean.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 58,147"
velossatechdesign.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 58,157"
mistore.pk,23.227.38.32,"Shopify, Inc",Canada,None,"# 58,423"
secretlab.eu,23.227.38.65,"Shopify, Inc",Canada,None,"# 58,648"
triangl.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 58,763"
aersf.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 59,316"
lloydspharmacy.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 59,362"
missouriquiltco.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 59,394"
belissimass.com.br,23.227.38.65,"Shopify, Inc",Canada,None,"# 59,423"
edikted.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 59,473"
harrypottershop.co.uk,23.227.38.65,"Shopify, Inc",Canada,None,"# 59,511"
godox-yourtreasure.jp,23.227.38.65,"Shopify, Inc",Canada,None,"# 59,625"
