website,web_ip_addr,web_host_comp,web_host_country,web_host_city
intimya.fr,23.227.38.70,"Shopify, Inc",Canada,none
deodap.com,23.227.38.32,"Shopify, Inc",Canada,none
fast-growing-trees.com,23.227.38.32,"Shopify, Inc",Canada,none
trysnow.com,23.227.38.74,"Shopify, Inc",Canada,none
magicspoon.com,23.227.38.65,"Shopify, Inc",Canada,none
boat-lifestyle.com,23.227.38.32,"Shopify, Inc",Canada,none
armanov.com,23.227.38.65,"Shopify, Inc",Canada,none
hunting-pony.com,23.227.38.65,"Shopify, Inc",Canada,none
trueleafmarket.com,23.227.38.32,"Shopify, Inc",Canada,none
outdoorvoices.com,23.227.38.32,"Shopify, Inc",Canada,none
usatuan.com,23.227.38.32,"Shopify, Inc",Canada,none
carolazeta.com,23.227.38.67,"Shopify, Inc",Canada,none
solarisjapan.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
allbirds.com,23.227.38.74,"Shopify, Inc",Canada,none
pretavoir.co.uk,23.227.38.65,"Shopify, Inc",Canada,none
aimeleondore.com,23.227.38.32,"Shopify, Inc",Canada,none
whitefoxboutique.com.au,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
skims.com,23.227.38.74,"Shopify, Inc",Canada,none
gonoise.com,23.227.38.32,"Shopify, Inc",Canada,none
vuoriclothing.com,23.227.38.32,"Shopify, Inc",Canada,none
pelavision.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
buywow.in,23.227.38.74,"Shopify, Inc",Canada,none
rhinoshield.fr,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
jenniferbehr.com,23.227.38.65,"Shopify, Inc",Canada,none
maisonmarble.com,23.227.38.65,"Shopify, Inc",Canada,none
vicicollection.com,23.227.38.65,"Shopify, Inc",Canada,none
miansai.com,23.227.38.74,"Shopify, Inc",Canada,none
byltbasics.com,23.227.38.32,"Shopify, Inc",Canada,none
westandwillow.com,23.227.38.66,"Shopify, Inc",Canada,none
tesmanian.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
analuisa.com,23.227.38.32,"Shopify, Inc",Canada,none
barnerbrand.com,23.227.38.32,"Shopify, Inc",Canada,none
feature.com,23.227.38.32,"Shopify, Inc",Canada,none
articture.com,23.227.38.74,"Shopify, Inc",Canada,none
floralastraioli.com,23.227.38.65,"Shopify, Inc",Canada,none
starlink.qa,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
mrcnoir.com,23.227.38.32,"Shopify, Inc",Canada,none
bdgastore.com,23.227.38.32,"Shopify, Inc",Canada,none
urwerk.shop,23.227.38.65,"Shopify, Inc",Canada,none
cernucci.com,23.227.38.74,"Shopify, Inc",Canada,none
goodhoodstore.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
hmoe.one,23.227.38.20,"Shopify, Inc",Canada,none
conferentia.fr,23.227.38.65,"Shopify, Inc",Canada,none
taftclothing.com,23.227.38.32,"Shopify, Inc",Canada,none
pangolin.com,23.227.38.32,"Shopify, Inc",Canada,none
yamaipottery.com,23.227.38.65,"Shopify, Inc",Canada,none
lashilebeauty.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
uncommonjames.com,23.227.38.32,"Shopify, Inc",Canada,none
ruggable.com,23.227.38.74,"Shopify, Inc",Canada,none
bombas.com,23.227.38.32,"Shopify, Inc",Canada,none
lifadishop.com,23.227.38.69,"Shopify, Inc",Canada,none
printermods.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
thechinatownmarket.com,23.227.38.32,"Shopify, Inc",Canada,none
brooklinen.com,23.227.38.32,"Shopify, Inc",Canada,none
repeat-undies.fr,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
diffeyewear.com,23.227.38.32,"Shopify, Inc",Canada,none
vapejuicedepot.com,23.227.38.32,"Shopify, Inc",Canada,none
honeybirdette.com,23.227.38.32,"Shopify, Inc",Canada,none
hufworldwide.com,23.227.38.65,"Shopify, Inc",Canada,none
viralecomadz.com,23.227.38.67,"Shopify, Inc",Canada,none
zoofashions.com,23.227.38.32,"Shopify, Inc",Canada,none
whatskogame.com,23.227.38.65,"Shopify, Inc",Canada,none
patrickadairdesigns.com,23.227.38.74,"Shopify, Inc",Canada,none
vedix.com,23.227.38.32,"Shopify, Inc",Canada,none
outofthesandbox.com,23.227.38.32,"Shopify, Inc",Canada,none
vitalproteins.com,23.227.38.32,"Shopify, Inc",Canada,none
allbirds.jp,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
iringcase.com,23.227.38.67,"Shopify, Inc",Canada,none
cupshe.com,23.227.38.32,"Shopify, Inc",Canada,none
shineon.com,23.227.38.74,"Shopify, Inc",Canada,none
pcgamingrace.com,23.227.38.32,"Shopify, Inc",Canada,none
hellomolly.com,23.227.38.65,"Shopify, Inc",Canada,none
reddress.com,23.227.38.32,"Shopify, Inc",Canada,none
getflits.com,23.227.38.32,"Shopify, Inc",Canada,none
knix.com,23.227.38.32,"Shopify, Inc",Canada,none
mammaly.de,23.227.38.65,"Shopify, Inc",Canada,none
fab.com,23.227.38.32,"Shopify, Inc",Canada,none
xlarge.com,23.227.38.32,"Shopify, Inc",Canada,none
dagogh.de,23.227.38.66,"Shopify, Inc",Canada,none
vetevo.de,23.227.38.32,"Shopify, Inc",Canada,none
vacalvers.com,23.227.38.65,"Shopify, Inc",Canada,none
kith.com,23.227.38.32,"Shopify, Inc",Canada,none
fxrracing.eu,23.227.38.65,"Shopify, Inc",Canada,none
coolsideofthepillowofficial.com,23.227.38.32,"Shopify, Inc",Canada,none
abbottlyon.com,23.227.38.32,"Shopify, Inc",Canada,none
owllabs.com,23.227.38.65,"Shopify, Inc",Canada,none
nobullproject.com,23.227.38.32,"Shopify, Inc",Canada,none
chomps.com,23.227.38.32,"Shopify, Inc",Canada,none
article-london.com,23.227.38.32,"Shopify, Inc",Canada,none
craftdlondon.com,23.227.38.32,"Shopify, Inc",Canada,none
themusiczoo.com,23.227.38.32,"Shopify, Inc",Canada,none
mistore.pk,23.227.38.32,"Shopify, Inc",Canada,none
bohemecollective.ca,23.227.38.32,"Shopify, Inc",Canada,none
ben-g.nl,23.227.38.65,"Shopify, Inc",Canada,none
burga.com,23.227.38.74,"Shopify, Inc",Canada,none
culturekings.com.au,23.227.38.74,"Shopify, Inc",Canada,none
zarabiya.jp,23.227.38.32,"Shopify, Inc",Canada,none
haricher.com,23.227.38.65,"Shopify, Inc",Canada,none
crownforeverla.com,23.227.38.32,"Shopify, Inc",Canada,none
heysilkyskin.com,23.227.38.74,"Shopify, Inc",Canada,none
puravidabracelets.com,23.227.38.32,"Shopify, Inc",Canada,none
vitalydesign.com,23.227.38.74,"Shopify, Inc",Canada,none
mosquitotrapx.com,23.227.38.71,"Shopify, Inc",Canada,none
merlettenyc.com,23.227.38.32,"Shopify, Inc",Canada,none
sugoimart.com,23.227.38.32,"Shopify, Inc",Canada,none
keychron.com,23.227.38.32,"Shopify, Inc",Canada,none
thesill.com,23.227.38.32,"Shopify, Inc",Canada,none
unfortunateportrait.com,23.227.38.32,"Shopify, Inc",Canada,none
bollandbranch.com,23.227.38.74,"Shopify, Inc",Canada,none
bandolierstyle.com,23.227.38.32,"Shopify, Inc",Canada,none
tigermist.com.au,23.227.38.32,"Shopify, Inc",Canada,none
ttdeye.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
stoneandstrand.com,23.227.38.32,"Shopify, Inc",Canada,none
recommendationletters.pro,23.227.38.32,"Shopify, Inc",Canada,none
hasbropulse.com,23.227.38.32,"Shopify, Inc",Canada,none
fullsend.com,23.227.38.32,"Shopify, Inc",Canada,none
unique.com.mm,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
hanon-shop.com,23.227.38.65,"Shopify, Inc",Canada,none
pier1.com,23.227.38.65,"Shopify, Inc",Canada,none
grandado.com,23.227.38.32,"Shopify, Inc",Canada,none
claddingstore.co.uk,23.227.38.32,"Shopify, Inc",Canada,none
thirdlove.com,23.227.38.32,"Shopify, Inc",Canada,none
kbdfans.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
nativeunion.com,23.227.38.32,"Shopify, Inc",Canada,none
zox.la,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
austinstjohn.biz,23.227.38.32,"Shopify, Inc",Canada,none
radioshack.com,23.227.38.74,"Shopify, Inc",Canada,none
jackery.com,23.227.38.32,"Shopify, Inc",Canada,none
ripndipclothing.com,23.227.38.74,"Shopify, Inc",Canada,none
kuress.com,23.227.38.32,"Shopify, Inc",Canada,none
proozy.com,23.227.38.32,"Shopify, Inc",Canada,none
lucreindustries.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
summersalt.com,23.227.38.32,"Shopify, Inc",Canada,none
jakeandjones.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
feuilleshop.com,23.227.38.32,"Shopify, Inc",Canada,none
lovevery.com,23.227.38.32,"Shopify, Inc",Canada,none
dogecore.com,23.227.38.74,"Shopify, Inc",Canada,none
thelittlemarket.com,23.227.38.32,"Shopify, Inc",Canada,none
drink.haus,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
giftgraphy.jp,23.227.38.32,"Shopify, Inc",Canada,none
spigen.com,23.227.38.32,"Shopify, Inc",Canada,none
victoriabeckham.com,23.227.38.32,"Shopify, Inc",Canada,none
rustans.com,23.227.38.32,"Shopify, Inc",Canada,none
slip.com,23.227.38.32,"Shopify, Inc",Canada,none
healthish.com,23.227.38.32,"Shopify, Inc",Canada,none
harresoe.com,23.227.38.32,"Shopify, Inc",Canada,none
kingsfind.com,23.227.38.32,"Shopify, Inc",Canada,none
fermliving.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
motelrocks.com,23.227.38.74,"Shopify, Inc",Canada,none
harpercollins.com,23.227.38.65,"Shopify, Inc",Canada,none
luxskin.co,23.227.38.67,"Shopify, Inc",Canada,none
prijzenmepper.shop,23.227.38.65,"Shopify, Inc",Canada,none
cultgaia.com,23.227.38.32,"Shopify, Inc",Canada,none
roseskinco.com,23.227.38.36,"Shopify, Inc",Canada,none
andieswim.com,23.227.38.32,"Shopify, Inc",Canada,none
bonify.io,23.227.38.65,"Shopify, Inc",Canada,none
freshhoods.com,23.227.38.36,"Shopify, Inc",Canada,none
proporta.co.uk,23.227.38.32,"Shopify, Inc",Canada,none
ivoryanddeene.com.au,23.227.38.32,"Shopify, Inc",Canada,none
designeroptics.com,23.227.38.32,"Shopify, Inc",Canada,none
shopneighbour.com,23.227.38.64,"Shopify, Inc",Canada,none
toteme-studio.com,23.227.38.74,"Shopify, Inc",Canada,none
wildstylela.com,23.227.38.65,"Shopify, Inc",Canada,none
27coffee.jp,23.227.38.65,"Shopify, Inc",Canada,none
organifishop.com,23.227.38.32,"Shopify, Inc",Canada,none
bandier.com,23.227.38.65,"Shopify, Inc",Canada,none
citiesocial.com,23.227.38.74,"Shopify, Inc",Canada,none
collins.co.uk,23.227.38.32,"Shopify, Inc",Canada,none
cooruv.com,23.227.38.65,"Shopify, Inc",Canada,none
upfos.com,23.227.38.65,"Shopify, Inc",Canada,none
ludwig.gg,23.227.38.73,"Shopify, Inc",Canada,none
bluefly.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
nurserylive.com,23.227.38.65,"Shopify, Inc",Canada,none
tea-protein.com,23.227.38.70,"Shopify, Inc",Canada,none
monicaandandy.com,23.227.38.32,"Shopify, Inc",Canada,none
mgemi.com,23.227.38.64,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
pixelunion.net,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
riverbendhome.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
whitefoxboutique.com,23.227.38.65,"Shopify, Inc",Canada,none
lovepopcards.com,23.227.38.32,"Shopify, Inc",Canada,none
bobbyrabbit.co.uk,23.227.38.32,"Shopify, Inc",Canada,none
vegamour.com,23.227.38.32,"Shopify, Inc",Canada,none
apc-us.com,23.227.38.32,"Shopify, Inc",Canada,none
wellnek.com,23.227.38.71,"Shopify, Inc",Canada,none
nakedwolfe.com,23.227.38.32,"Shopify, Inc",Canada,none
cabourn.jp,23.227.38.32,"Shopify, Inc",Canada,none
boredofsouthsea.co.uk,23.227.38.32,"Shopify, Inc",Canada,none
1stphorm.com,23.227.38.32,"Shopify, Inc",Canada,none
chicgeeks.com,23.227.38.32,"Shopify, Inc",Canada,none
alphaleteathletics.com,23.227.38.32,"Shopify, Inc",Canada,none
princesspolly.com.au,23.227.38.74,"Shopify, Inc",Canada,none
birdies.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
hibella.com,23.227.38.65,"Shopify, Inc",Canada,none
aquatech.net,23.227.38.32,"Shopify, Inc",Canada,none
faworldentertainment.com,23.227.38.32,"Shopify, Inc",Canada,none
innosupps.com,23.227.38.32,"Shopify, Inc",Canada,none
grandcoming.com,23.227.38.32,"Shopify, Inc",Canada,none
thewalkingcompany.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
hotelchocolat.co.jp,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
residenthome.com,23.227.38.65,"Shopify, Inc",Canada,none
renarts.com,23.227.38.32,"Shopify, Inc",Canada,none
windsorstore.com,23.227.38.32,"Shopify, Inc",Canada,none
harperandblake.co.uk,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
unifclothing.com,23.227.38.32,"Shopify, Inc",Canada,none
hypesmartshop.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
myonlinefashionstore.com,23.227.38.32,"Shopify, Inc",Canada,none
ripndip.jp,23.227.38.32,"Shopify, Inc",Canada,none
bando.com,23.227.38.74,"Shopify, Inc",Canada,none
theunionproject.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
quickservicepanama.com,23.227.38.65,"Shopify, Inc",Canada,none
ilovewoo.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
mountainbuggy.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
ronherman.com,23.227.38.32,"Shopify, Inc",Canada,none
thebikerack.ie,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
kingice.com,23.227.38.32,"Shopify, Inc",Canada,none
burkedecor.com,23.227.38.32,"Shopify, Inc",Canada,none
krisnations.com,23.227.38.32,"Shopify, Inc",Canada,none
robelily.com,23.227.38.32,"Shopify, Inc",Canada,none
the-echelon.com,23.227.38.70,"Shopify, Inc",Canada,none
tombihn.com,23.227.38.32,"Shopify, Inc",Canada,none
carencurepharmacy.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
outerknown.com,23.227.38.74,"Shopify, Inc",Canada,none
theproscloset.com,23.227.38.32,"Shopify, Inc",Canada,none
lojapetinhoss.com,23.227.38.32,"Shopify, Inc",Canada,none
ine.com,23.227.38.32,"Shopify, Inc",Canada,none
elleme.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
headphonezone.in,23.227.38.74,"Shopify, Inc",Canada,none
jisubikes.com,23.227.38.65,"Shopify, Inc",Canada,none
axionfootwear.com,23.227.38.65,"Shopify, Inc",Canada,none
teefury.com,23.227.38.32,"Shopify, Inc",Canada,none
longclothing.com,23.227.38.65,"Shopify, Inc",Canada,none
ninewest.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
goli.com,23.227.38.32,"Shopify, Inc",Canada,none
turtlebeach.com,23.227.38.32,"Shopify, Inc",Canada,none
layouthub.com,23.227.38.74,"Shopify, Inc",Canada,none
dropseek.co,23.227.38.65,"Shopify, Inc",Canada,none
howlerbros.com,23.227.38.32,"Shopify, Inc",Canada,none
meddyteddy.com,23.227.38.32,"Shopify, Inc",Canada,none
monnierfreres.com,23.227.38.65,"Shopify, Inc",Canada,none
calif.cc,23.227.38.65,"Shopify, Inc",Canada,none
greysonclothiers.com,23.227.38.32,"Shopify, Inc",Canada,none
rufusmacba.com,23.227.38.65,"Shopify, Inc",Canada,none
dropshipdemo.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
uniquestyleracingstore.com,23.227.38.32,"Shopify, Inc",Canada,none
muudha.com,23.227.38.32,"Shopify, Inc",Canada,none
pax.com,23.227.38.32,"Shopify, Inc",Canada,none
mackweldon.com,23.227.38.32,"Shopify, Inc",Canada,none
madaluxevault.com,23.227.38.32,"Shopify, Inc",Canada,none
wantapothecary.com,23.227.38.32,"Shopify, Inc",Canada,none
iwa-sake.hk,23.227.38.65,"Shopify, Inc",Canada,none
drsquatch.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
myphotoboxer.jp,23.227.38.32,"Shopify, Inc",Canada,none
infograpia.com,23.227.38.70,"Shopify, Inc",Canada,none
quayaustralia.com,23.227.38.32,"Shopify, Inc",Canada,none
solestop.com,23.227.38.32,"Shopify, Inc",Canada,none
iwa-sake.shop,23.227.38.36,"Shopify, Inc",Canada,none
getkion.com,23.227.38.65,"Shopify, Inc",Canada,none
ohhdeer.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
triangl.com,23.227.38.32,"Shopify, Inc",Canada,none
skinkraft.com,23.227.38.32,"Shopify, Inc",Canada,none
urbansophistication.boutique,23.227.38.68,"Shopify, Inc",Canada,none
justinreed.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
koprez.com,23.227.38.65,"Shopify, Inc",Canada,none
patagoniaprovisions.jp,23.227.38.32,"Shopify, Inc",Canada,none
diamondartclub.com,23.227.38.32,"Shopify, Inc",Canada,none
boxmenswear.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
vessi.com,23.227.38.65,"Shopify, Inc",Canada,none
kiitos.com.au,23.227.38.32,"Shopify, Inc",Canada,none
himalayawellness.in,23.227.38.32,"Shopify, Inc",Canada,none
shopamicis.com,23.227.38.65,"Shopify, Inc",Canada,none
blissy.com,23.227.38.32,"Shopify, Inc",Canada,none
gianniferrucci-design.com,23.227.38.65,"Shopify, Inc",Canada,none
function18.com,23.227.38.65,"Shopify, Inc",Canada,none
myshinebox.com,23.227.38.65,"Shopify, Inc",Canada,none
italystation.com,23.227.38.32,"Shopify, Inc",Canada,none
breazy.com,23.227.38.32,"Shopify, Inc",Canada,none
solskenshop.com,23.227.38.32,"Shopify, Inc",Canada,none
dailysale.com,23.227.38.32,"Shopify, Inc",Canada,none
irisfashion.co.uk,23.227.38.32,"Shopify, Inc",Canada,none
kimlud.com,23.227.38.32,"Shopify, Inc",Canada,none
neweracap.jp,23.227.38.65,"Shopify, Inc",Canada,none
gldn.com,23.227.38.65,"Shopify, Inc",Canada,none
shopdoen.com,23.227.38.32,"Shopify, Inc",Canada,none
unitude.com,23.227.38.32,"Shopify, Inc",Canada,none
tattooedchef.com,23.227.38.65,"Shopify, Inc",Canada,none
hampdenclothing.com,23.227.38.32,"Shopify, Inc",Canada,none
thegymking.com,23.227.38.32,"Shopify, Inc",Canada,none
popcornstore.com.hk,23.227.38.32,"Shopify, Inc",Canada,none
deadstock.ca,23.227.38.32,"Shopify, Inc",Canada,none
octobersveryown.com,23.227.38.32,"Shopify, Inc",Canada,none
vikingbeauty.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
budmother.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
completedworks.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
gorjana.com,23.227.38.32,"Shopify, Inc",Canada,none
room.com,23.227.38.32,"Shopify, Inc",Canada,none
dropbottle.com,23.227.38.74,"Shopify, Inc",Canada,none
optamia.com,23.227.38.32,"Shopify, Inc",Canada,none
publicgoods.com,23.227.38.65,"Shopify, Inc",Canada,none
woodtrick.com,23.227.38.65,"Shopify, Inc",Canada,none
radpowerbikes.com,23.227.38.32,"Shopify, Inc",Canada,none
thesculptsociety.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
medichecks.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
shopthousandmiles.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
misen.com,23.227.38.65,"Shopify, Inc",Canada,none
lustmexico.com,23.227.38.32,"Shopify, Inc",Canada,none
soundstrue.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
worldtreeo.com,23.227.38.32,"Shopify, Inc",Canada,none
vanacos.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
halipax.com,23.227.38.32,"Shopify, Inc",Canada,none
sugata-online.com,23.227.38.32,"Shopify, Inc",Canada,none
ooni.com,23.227.38.32,"Shopify, Inc",Canada,none
bondiboost.com,23.227.38.32,"Shopify, Inc",Canada,none
blenderseyewear.com,23.227.38.74,"Shopify, Inc",Canada,none
xinghaoya.net,23.227.38.74,"Shopify, Inc",Canada,none
ecommerceparadise.com,23.227.38.32,"Shopify, Inc",Canada,none
sinnersattire.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
spartan.com,23.227.38.65,"Shopify, Inc",Canada,none
promescent.com,23.227.38.65,"Shopify, Inc",Canada,none
mcgeeandco.com,23.227.38.74,"Shopify, Inc",Canada,none
liquiddeath.com,23.227.38.32,"Shopify, Inc",Canada,none
yourkins.com,23.227.38.32,"Shopify, Inc",Canada,none
optcorp.com,23.227.38.32,"Shopify, Inc",Canada,none
secretlab.co,23.227.38.64,"Shopify, Inc",Canada,none
